depth	agents	c	n_kv	prefill_tps	agg_decode_tps	per_agent_tps	total_s	status
512	1	640	640	896.97	79.88	79.88	2.173	OK
512	48	30720	30720	1925.37	208.97	4.35	42.166	OK
2048	48	104448	104448	1998.13	177.71	3.70	83.771	OK
8192	1	8320	8320	1653.10	55.68	55.68	7.254	OK
8192	28	232960	232960	1717.69	105.24	3.76	167.592	OK
16384	8	132096	132096	1482.12	60.78	7.60	105.284	OK
16384	15	247680	247680	1488.79	65.23	4.35	194.507	OK
32768	6	197376	197376	1160.31	34.43	5.74	191.751	OK
65536	1	65664	65664	788.27	17.86	17.86	90.307	OK
65536	3	196992	196992	791.47	22.35	7.45	265.586	OK
